,City,Country,Date,Latitude,Longitude,Maximum Temperature,Humidity,Cloud Level,Wind (m/h)
374,Ous,RU,1587583643,60.91,61.52,42.39,88,100,10.38
375,Clemson,US,1587583643,34.68,-82.84,71.01,29,1,5.82
376,Vardø,NO,1587583643,70.37,31.11,28.4,63,75,10.29
377,Bonavista,CA,1587583643,48.65,-53.11,35.6,85,6,18.66
378,Ixtapa,MX,1587583643,20.7,-105.2,77.0,73,40,8.05
379,Natal,BR,1587583618,-5.79,-35.21,86.0,66,20,10.29
380,Hervey Bay,AU,1587583643,-25.3,152.85,68.0,88,0,5.01
381,Banjar,ID,1587583643,-8.19,114.97,84.2,100,20,9.17
382,Galle,LK,1587583413,6.04,80.22,80.29,79,100,3.15
383,St. George's,GD,1587583636,12.06,-61.75,84.2,70,40,19.46
384,Patna,IN,1587583643,25.6,85.12,78.8,65,20,5.82
385,Port-Gentil,GA,1587583643,-0.72,8.78,80.6,88,20,4.7
386,Ust-Maya,RU,1587583643,60.42,134.53,17.6,94,0,1.9
387,Tocopilla,CL,1587583643,-22.09,-70.2,83.35,19,17,7.25
388,Bima,ID,1587583643,-8.47,118.72,77.07,85,93,3.8
389,Monte Alegre,BR,1587583644,-2.01,-54.07,84.0,74,75,1.25
390,Mirny,RU,1587583644,62.54,113.96,35.6,80,100,8.95
391,São Sebastião do Passé,BR,1587583644,-12.51,-38.5,80.6,88,75,5.82
392,Zabaykal'sk,RU,1587583644,49.63,117.32,32.9,56,72,4.16
393,Agropoli,IT,1587583644,40.35,15.0,57.99,94,100,4.16
394,Kiryat Gat,IL,1587583644,31.61,34.76,73.0,56,1,12.39
395,Pandan,PH,1587583644,14.05,124.17,80.98,80,25,8.68
396,Hanna,CA,1587583644,51.63,-111.9,54.0,39,100,8.99
397,Coria,ES,1587583644,39.99,-6.54,66.99,60,21,2.53
398,Mondeville,FR,1587583644,49.17,-0.32,55.4,71,0,3.36
399,Bulgan,MN,1587583644,48.81,103.53,34.2,38,39,4.07
400,Bay Roberts,CA,1587583645,47.6,-53.26,51.01,47,15,3.0
401,Loandjili,CG,1587583645,-4.76,11.86,80.89,84,27,9.06
402,Norman Wells,CA,1587583645,65.28,-126.83,19.4,57,75,11.41
403,Tegul'det,RU,1587583645,57.31,88.17,54.34,73,78,5.41
404,Lac du Bonnet,CA,1587583645,50.25,-96.06,42.58,55,89,6.76
405,Tignère,CM,1587583645,7.37,12.65,73.08,53,86,4.63
406,Coquimbo,CL,1587583645,-29.95,-71.34,60.8,82,90,11.41
407,Jumla,NP,1587583645,29.27,82.18,45.86,34,63,1.1
408,Bosaso,SO,1587583645,11.28,49.18,83.55,71,41,7.2
409,Port Keats,AU,1587583645,-14.25,129.55,79.2,48,4,7.99
410,Aksu,CN,1587583645,41.12,80.26,60.46,37,85,3.04
411,Edd,ER,1587583645,13.93,41.69,90.16,49,67,15.23
412,Macao,MO,1587583639,22.2,113.55,69.8,88,40,13.87
413,Oranjestad,AW,1587583624,12.52,-70.03,86.0,70,40,19.46
414,Kurri Kurri,AU,1587583646,-32.82,151.48,60.01,85,13,2.55
415,Yaan,NG,1587583646,7.38,8.57,88.5,55,59,8.81
416,Marovoay,MG,1587583646,-16.1,46.63,80.6,78,20,3.36
417,Ormara,PK,1587583646,25.21,64.64,81.45,74,13,10.04
418,Tres Picos,MX,1587583646,15.87,-93.53,93.81,45,3,7.58
419,Lydenburg,ZA,1587583505,-25.1,30.46,64.0,84,1,1.01
420,Amga,RU,1587583646,60.9,131.96,20.35,94,20,3.89
421,Saint-Pierre,RE,1587583646,-21.34,55.48,73.4,88,20,11.41
422,Jhalidā,IN,1587583646,23.37,85.97,71.6,78,20,6.33
423,Batticaloa,LK,1587583646,7.71,81.69,81.01,76,73,3.85
424,Kaitangata,NZ,1587583647,-46.28,169.85,48.99,92,64,5.3
425,Udachny,RU,1587583647,66.42,112.4,32.0,93,90,6.71
426,Kusa,RU,1587583647,55.34,59.44,36.91,73,76,7.27
427,Altay,CN,1587583647,47.87,88.12,52.66,24,0,8.95
428,Vila Franca do Campo,PT,1587583647,37.72,-25.43,60.8,72,20,14.99
429,Sisimiut,GL,1587583647,66.94,-53.67,39.87,72,28,7.87
430,Ōfunato,JP,1587583647,39.07,141.72,39.6,72,6,8.75
431,Zhigansk,RU,1587583647,66.77,123.37,25.0,98,99,7.85
432,La Reforma,MX,1587583647,25.08,-108.05,91.99,31,5,4.7
433,Tournon-sur-Rhône,FR,1587583647,45.07,4.83,64.4,68,27,12.75
434,Oskemen,KZ,1587583647,49.96,82.61,57.2,30,44,2.24
435,Denizli Province,TR,1587583648,37.84,29.07,58.98,59,50,7.25
436,São Gabriel da Cachoeira,BR,1587583648,-0.13,-67.09,80.6,83,75,6.93
437,Sühbaatar,MN,1587583648,50.23,106.21,34.86,49,43,5.86
438,Gushikawa,JP,1587583648,26.35,127.87,62.6,72,90,4.7
439,Necochea,AR,1587583648,-38.55,-58.74,63.0,63,58,8.01
440,Rørvik,NO,1587583648,64.86,11.24,42.8,70,100,9.17
441,Makakilo City,US,1587583478,21.35,-158.09,77.0,73,1,5.53
442,Rosetta,EG,1587583648,31.4,30.42,66.2,72,0,13.87
443,Naze,JP,1587583499,28.37,129.48,62.6,51,90,18.34
444,Lincoln,US,1587583619,40.8,-96.67,77.0,31,20,12.75
445,Anjiang,CN,1587583648,27.32,110.1,53.42,83,100,3.24
446,Oudtshoorn,ZA,1587583648,-33.59,22.2,55.4,82,0,2.24
447,Pangoa,PE,1587583384,-12.12,-73.0,88.57,35,66,4.47
448,Kargil,IN,1587583649,34.57,76.1,32.09,21,99,5.97
449,Orocué,CO,1587583649,4.79,-71.34,95.72,40,74,1.99
450,Ocós,GT,1587583649,14.51,-92.19,95.0,50,20,13.87
451,Soloneshnoye,RU,1587583649,51.65,84.32,58.14,31,63,6.69
452,Ginda,IN,1587583649,30.69,78.49,53.17,32,76,3.49
453,Vestmanna,FO,1587583649,62.16,-7.17,50.0,66,0,6.93
454,Kieta,PG,1587583649,-6.22,155.63,79.23,77,97,2.44
455,Andenes,NO,1587583649,69.31,16.12,39.2,86,100,6.93
456,Qaqortoq,GL,1587583649,60.72,-46.03,48.2,34,75,50.55
457,Whitehorse,CA,1587583649,60.72,-135.05,44.6,56,75,4.7
458,Lázaro Cárdenas,MX,1587583356,17.96,-102.2,86.41,41,92,8.23
459,Laurel,US,1587583469,39.1,-76.85,57.99,22,1,17.22
460,Kloulklubed,PW,1587583650,7.04,134.26,78.8,88,75,4.7
461,Fjerritslev,DK,1587583650,57.08,9.27,55.99,75,0,1.01
462,Canela,BR,1587583650,-29.37,-50.82,82.0,49,0,3.0
463,Malé,MV,1587583650,4.17,73.51,84.56,71,57,8.05
464,Kruisfontein,ZA,1587583650,-34.0,24.73,54.64,77,0,3.18
465,Gander,CA,1587583650,48.97,-54.59,44.6,42,75,21.92
466,Berlevåg,NO,1587583650,70.86,29.09,30.2,58,40,24.16
467,Alice,US,1587583650,27.75,-98.07,98.6,59,75,11.41
468,Buala,SB,1587583650,-8.14,159.59,81.66,76,67,1.83
469,Balkanabat,TM,1587583650,39.51,54.37,68.76,41,84,5.08
470,Quang Ngai,VN,1587583650,15.12,108.8,77.34,89,83,3.96
471,Kumo,NG,1587583651,10.04,11.21,96.48,21,98,9.4
472,São João da Barra,BR,1587583651,-21.64,-41.05,80.6,61,20,11.41
473,Port Lincoln,AU,1587583651,-34.73,135.87,64.65,66,64,11.9
474,Port Macquarie,AU,1587583377,-31.43,152.92,55.0,97,0,5.61
475,Harar,ET,1587583651,9.31,42.13,63.81,50,97,0.58
476,Newport,GB,1587583436,51.59,-3.0,64.0,57,33,10.94
477,Mount Darwin,ZW,1587583651,-16.77,31.58,66.31,40,12,3.8
478,Cananéia,BR,1587583651,-25.01,-47.93,75.2,64,0,6.55
479,Rockport,US,1587583651,28.02,-97.05,84.2,70,90,13.87
480,Kasempa,ZM,1587583651,-13.46,25.83,61.18,41,0,3.31
481,Nanortalik,GL,1587583651,60.14,-45.24,41.22,68,89,28.9
482,Ozernovskiy,RU,1587583651,51.5,156.52,32.0,92,100,19.77
483,Bhāgalpur,IN,1587583651,25.25,87.0,81.7,43,31,6.04
484,Cabedelo,BR,1587583651,-6.98,-34.83,84.2,74,75,9.17
485,Monrovia,LR,1587583652,6.3,-10.8,86.0,74,40,6.93
486,Montrose,US,1587583652,38.42,-108.27,60.8,47,40,5.82
487,Nanchang,CN,1587583652,28.68,115.88,60.39,74,100,2.21
488,Pozo Colorado,PY,1587583652,-23.49,-58.8,95.63,21,0,1.72
489,Shitanjing,CN,1587583652,39.23,106.34,44.01,3,25,5.01
490,Dauphin,CA,1587583652,51.15,-100.05,43.99,62,100,1.28
491,Camaná,PE,1587583652,-16.62,-72.71,74.97,58,31,7.29
492,Dabou,CI,1587583652,5.33,-4.38,78.8,88,40,14.99
493,Suntar,RU,1587583652,62.14,117.63,35.56,88,100,7.0
494,Romanovka,RU,1587583652,51.74,42.75,36.73,77,93,12.06
495,Sittwe,MM,1587583652,20.15,92.9,78.76,83,8,6.17
496,Laas,IT,1587583652,46.62,10.7,48.2,39,5,2.24
497,Kulhudhuffushi,MV,1587583652,6.62,73.07,85.15,69,100,8.37
498,Gornyy,RU,1587583652,55.12,83.91,56.75,52,91,10.47
499,Atar,MR,1587583653,20.52,-13.05,96.08,7,0,10.4
500,Khovd,MN,1587583653,48.01,91.64,42.44,29,1,1.99
501,Camocim,BR,1587583653,-2.9,-40.84,77.58,89,98,1.77
502,Arrondissement du Havre,FR,1587583653,49.58,0.33,57.2,62,1,6.93
503,Rozhniativ,UA,1587583653,48.94,24.16,46.4,45,34,2.24
504,Naryan-Mar,RU,1587583653,67.67,53.09,14.29,94,10,6.85
505,Pangkalanbuun,ID,1587583653,-2.68,111.62,78.48,90,80,3.33
506,Khāsh,IR,1587583653,28.22,61.22,68.56,32,21,8.1
507,Cajamarca,PE,1587583653,-7.16,-78.5,73.4,40,20,11.41
508,Okha,RU,1587583653,53.57,142.95,25.41,98,56,10.07
509,Aklavik,CA,1587583653,68.22,-135.01,14.0,61,75,4.7
510,Buta,CD,1587583653,2.79,24.73,76.1,73,69,2.59
511,Solnechnyy,RU,1587583653,50.72,136.63,19.29,92,97,14.09
512,Wakkanai,JP,1587583654,45.41,141.67,35.58,94,100,13.35
513,Moose Factory,CA,1587583654,51.26,-80.61,15.8,52,1,16.11
514,Nouadhibou,MR,1587583654,20.93,-17.03,66.2,72,0,21.92
515,Kubanskiy,RU,1587583654,45.93,40.58,43.02,66,40,10.56
516,La Ronge,CA,1587583654,55.1,-105.28,39.2,86,75,5.82
517,Cabinda,AO,1587583654,-5.55,12.2,81.37,80,11,10.07
518,Mahibadhoo,MV,1587583521,3.78,72.97,84.22,72,54,8.59
519,Aitape,PG,1587583654,-3.14,142.35,79.77,81,100,5.08
520,Vermeş,RO,1587583654,45.52,21.66,57.2,70,36,5.82
521,Willmar,US,1587583654,45.12,-95.04,69.8,29,1,4.7
522,Bereda,ES,1587583654,43.27,-7.54,57.0,87,99,5.01
523,Chicama,PE,1587583654,-7.84,-79.15,69.8,77,3,13.87
524,Matinha,BR,1587583655,-3.1,-45.03,81.09,81,95,1.19
525,Sinazongwe,ZM,1587583655,-17.26,27.46,72.84,44,0,3.11
526,Hutchinson,US,1587583655,38.06,-97.93,61.0,77,90,8.05
527,Garoowe,SO,1587583655,8.41,48.48,82.26,57,11,16.84
528,Lambaréné,GA,1587583655,-0.7,10.24,80.4,75,67,2.98
529,Sampit,ID,1587583655,-2.53,112.95,76.44,94,100,1.23
530,Hay River,CA,1587583655,60.82,-115.8,32.0,97,90,9.17
531,Bambous Virieux,MU,1587583655,-20.34,57.76,77.0,83,40,11.41
532,Kaduqli,SD,1587583655,11.02,29.72,88.9,10,0,4.45
533,Tromsø,NO,1587583655,69.65,18.96,39.2,69,40,14.99
534,Chișinău,MD,1587583655,47.01,28.86,51.8,37,73,8.05
535,Ubari,LY,1587583563,26.59,12.78,88.79,10,0,9.82
536,Faro,PT,1587583655,37.02,-7.93,68.0,52,20,9.17
537,Kamakwie,SL,1587583656,9.5,-12.23,94.42,42,65,4.97
538,Palauig,PH,1587583656,15.44,119.9,82.51,77,87,4.07
539,Riyadh,SA,1587583656,24.69,46.72,78.8,57,30,6.93
540,Tubualá,PA,1587583656,9.52,-79.03,84.2,79,40,12.75
541,Novouzensk,RU,1587583656,50.46,48.14,41.22,72,47,11.07
